Date,ConnType,ConnDetails,Lat,Lon,Download,DownloadBytes,Upload,UploadBytes,Latency,ServerName,InternalIp,ExternalIp,Is SpeedTest VPN
"2025-07-11 23:05,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,78288,120535518,41441,71093568,28,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:04,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,68246,124511778,34901,59792088,38,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:03,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,36961,64004307,32596,55387480,28,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:02,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,68197,114255549,21716,35037280,30,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:01,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,74432,108877375,39693,73761768,34,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:00,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,74152,103584410,42740,73776080,38,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 22:59,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,81098,146396343,42478,58816632,25,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 22:57,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,63723,80344904,21345,42334906,27,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 22:56,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,65286,91178500,36021,53240840,33,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 22:55,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,71089,72506047,42806,62799216,23,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 22:54,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,76172,123797142,37127,68226184,31,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 22:50,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,53760,75879042,38576,68456624,31,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 22:48,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,64897,113514968,29652,52517696,48,""Landshut"",""10.2.170.84"",""209.198.143.250"",No"
"2025-07-11 22:47,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,54593,78158750,33322,60182992,50,""Landshut"",""10.2.170.84"",""209.198.143.250"",No"
"2025-07-11 22:46,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,75334,131901378,33091,59953104,51,""Landshut"",""10.2.170.84"",""209.198.143.250"",No"
"2025-07-11 22:39,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,64561,98286687,26230,31165464,55,""Landshut"",""10.2.170.84"",""209.198.143.250"",No"
"2025-07-11 22:37,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,74194,131023556,29791,40058936,47,""Landshut"",""10.2.170.84"",""209.198.143.250"",No"
"2025-07-11 22:04,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,65001,119174504,38440,54683336,40,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 21:47,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,86653,125108884,47106,50560872,24,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 21:45,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,85614,107791831,42399,38166552,23,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 21:44,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,65981,101958974,34260,61411400,28,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 21:42,Wi-Fi,""SSID: airBaltic Starlink"",48.360356,11.785241,78880,141587816,42341,52143400,24,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
